id,Latitude,Longitude
0,219837,144694
1,220251,144151
2,220097,144245
3,220135,141976
4,220492,142385
5,219977,141345
6,219942,144298
7,219793,144377
8,219841,143668
9,220221,142501
10,220278,142191
11,220172,142393
12,219146,141129
13,219007,140979
14,219318,141244
15,219968,144541
16,219628,145015
17,219983,144629
18,220821,143618
19,221243,143059
20,221286,143029
21,220336,144286
22,219247,145057
23,219958,144555
24,218722,144347
25,218586,144418
26,218830,144130
27,221557,142649
28,220445,144123
29,221565,142598
30,219366,145071
31,219285,144455
32,218765,145402
33,220874,143466
34,220800,143505
35,220842,143535
36,220867,143513
37,220994,142550
38,221171,143187
39,218349,144932
40,218759,145187
41,218254,144724
42,220278,142398
43,220241,142253
44,219944,142684
45,219977,144244
46,220149,143819
47,219664,144248
48,220426,142226
49,220592,142324
50,220513,142834
51,218994,144008
52,218940,144042
53,218866,144098
54,220309,142260
55,221057,142879
56,220923,142871
57,220088,141741
58,219894,141613
59,220307,142186
60,219917,144651
61,219258,145451
62,220321,144163
63,220099,143815
64,220012,143716
65,219565,143366
66,219314,141447
67,219035,141011
68,219241,141234
69,219904,144172
70,220127,143670
71,220254,143780
72,220019,141932
73,220134,141648
74,219943,141818
75,218424,144656
76,218427,144659
77,218864,144109
78,218711,144309
79,218626,144948
80,218464,144897
81,218448,144577
82,218243,144526
83,218601,144366
84,219056,145653
85,219113,145527
86,218448,144938
87,218464,143447
88,217822,144211
89,217881,144555
90,220103,143792
91,220440,143632
92,220291,143909
93,220163,141942
94,219996,141819
96,218845,141593
97,219445,141394
98,219978,141854
99,220665,143746
100,221271,143015
101,220652,143922
102,220109,143526
103,220169,144185
104,219728,144706
105,219223,145792
106,218498,145122
107,219238,145457
108,219793,144713
109,219656,144920
110,220412,143997
111,219730,141635
112,220354,142232
113,219977,141968
114,218689,145065
115,218433,145092
116,219608,145162
117,220795,143583
118,219984,143637
119,220572,143761
120,220617,143796
121,220460,143890
122,220405,143861
123,219558,143263
124,219880,143517
125,219704,143459
126,219065,145669
127,219283,145171
128,219722,144637
129,218786,144333
130,218779,144154
131,218860,144106
132,218926,143930
133,218976,144114
134,219121,143769
135,220920,143318
136,221299,142917
137,221031,143258
138,218253,144856
139,218466,145004
140,219077,145274
141,218819,143286
142,218073,144010
143,218200,143797
144,220708,142431
147,219588,144733
148,219600,143319
149,219980,144190
150,220757,143576
151,220793,143449
152,221217,143176
153,219389,141311
154,219544,141479
155,219661,141583
156,221246,142876
157,221570,142603
162,218646,145217
163,218178,144780
164,219457,145260
165,217804,144428
166,218271,143955
167,217788,144440
168,218343,144554
169,218765,144120
170,218621,144428
171,219782,141560
172,219902,141608
173,219970,141386
174,220273,142534
175,219704,143033
176,219827,142872
177,221118,143148
178,221300,142950
179,220836,143596
180,220544,143968
181,220866,143332
182,220728,143742
183,218492,143527
184,217918,144384
185,218294,143820
186,220785,143680
187,220261,143233
188,220864,143381
189,219424,141356
190,219574,141511
191,219784,141746
192,220321,142318
193,220385,142253
194,220950,142833
195,221517,142727
196,220936,143384
197,221099,143356
198,219395,143228
199,219889,143555
200,220214,144100
201,218855,144100
202,219220,143716
203,218907,144007
204,220369,142362
205,220705,142752
206,220532,142353
207,220259,142221
208,220173,142435
209,219861,142851
210,219227,143563
211,218816,144125
212,219073,143855
